t,theta,theta_dot,voltage
4.806000,0.184078,-6.510935,3.000000
4.807000,0.177942,-6.510935,3.000000
4.808000,0.171806,-6.464017,3.000000
4.809000,0.165670,-6.464017,3.000000
4.810000,0.159534,-5.989635,3.000000
4.811000,0.156466,-5.989635,3.000000
4.812000,0.150330,-5.765152,3.000000
4.813000,0.144194,-5.765152,3.000000
4.814000,0.138058,-5.418366,3.000000
4.815000,0.134990,-5.418366,3.000000
4.816000,0.128854,-5.418366,3.000000
4.817000,0.125786,-5.119461,3.000000
4.818000,0.119651,-5.119461,3.000000
4.819000,0.116583,-4.910621,3.000000
4.820000,0.110447,-4.648255,3.000000
4.821000,0.107379,-4.648255,3.000000
4.822000,0.104311,-4.403092,3.000000
4.823000,0.101243,-4.288086,3.000000
4.824000,0.095107,-4.288086,3.000000
4.825000,0.092039,-4.288086,3.000000
4.826000,0.088971,-3.838534,3.000000
4.827000,0.085903,-3.838534,3.000000
4.828000,0.082835,-3.838534,3.000000
4.829000,0.079767,-3.700287,3.000000
4.830000,0.076699,-3.272347,3.000000
4.831000,0.073631,-3.272347,3.000000
4.832000,0.073631,-3.272347,3.000000
4.833000,0.070563,-3.272347,3.000000
4.834000,0.067495,-2.909639,3.000000
4.835000,0.067495,-2.348385,3.000000
4.836000,0.064427,-2.652440,3.000000
4.837000,0.061359,-2.652440,3.000000
4.838000,0.061359,-2.652440,3.000000
4.839000,0.058291,-2.652440,3.000000
4.840000,0.058291,-2.526132,3.000000
4.841000,0.058291,-2.095150,3.000000
4.842000,0.055223,-1.789866,3.000000
4.843000,0.055223,-1.561488,3.000000
4.844000,0.055223,-1.385078,3.000000
4.845000,0.055223,-1.244965,3.000000
4.846000,0.052155,-1.833896,3.000000
4.847000,0.052155,-1.833896,3.000000
4.848000,0.052155,-1.833896,3.000000
4.849000,0.052155,-1.833896,3.000000
4.850000,0.052155,-1.833896,3.000000
4.851000,0.052155,-1.833896,3.000000
4.852000,0.055223,-1.833896,3.000000
4.853000,0.055223,1.749237,3.000000
4.854000,0.055223,1.530259,3.000000
4.855000,0.055223,1.361167,3.000000
4.856000,0.055223,1.225134,3.000000
4.857000,0.058291,1.114372,3.000000
4.858000,0.058291,1.021395,3.000000
4.859000,0.061359,0.947801,3.000000
4.860000,0.061359,0.947801,3.000000
4.861000,0.064427,0.947801,3.000000
4.862000,0.064427,0.947801,3.000000
4.863000,0.067495,0.947801,3.000000
4.864000,0.070563,0.947801,3.000000
4.865000,0.070563,0.947801,3.000000
4.866000,0.073631,1.195093,3.000000
4.867000,0.076699,1.195093,3.000000
4.868000,0.079767,1.195093,3.000000
4.869000,0.082835,1.195093,3.000000
4.870000,0.082835,1.195093,3.000000
4.871000,0.088971,2.244536,3.000000
4.872000,0.092039,2.244536,3.000000
4.873000,0.095107,2.244536,3.000000
4.874000,0.098175,2.895982,3.000000
4.875000,0.101243,2.895982,3.000000
4.876000,0.104311,2.895982,3.000000
4.877000,0.107379,2.895982,3.000000
4.878000,0.113515,3.426295,3.000000
4.879000,0.116583,3.426295,3.000000
4.880000,0.119651,3.426295,3.000000
4.881000,0.125786,3.875150,3.000000
4.882000,0.128854,3.875150,3.000000
4.883000,0.134990,4.280130,3.000000
4.884000,0.138058,4.280130,3.000000
4.885000,0.144194,4.280130,3.000000
4.886000,0.147262,4.631905,3.000000
4.887000,0.153398,4.631905,3.000000
4.888000,0.159534,4.972133,3.000000
4.889000,0.165670,4.972133,3.000000
4.890000,0.168738,4.972133,3.000000
4.891000,0.174874,5.261994,3.000000
4.892000,0.181010,5.261994,3.000000
4.893000,0.187146,5.546493,3.000000
4.894000,0.193282,5.546493,3.000000
4.895000,0.199418,5.802901,3.000000
4.896000,0.205553,5.802901,3.000000
4.897000,0.211689,6.049798,3.000000
4.898000,0.217825,6.049798,3.000000
4.899000,0.223961,6.270922,3.000000
4.900000,0.230097,6.270922,-3.000000
4.901000,0.236233,6.496716,-3.000000
4.902000,0.242369,6.416232,-3.000000
4.903000,0.251573,6.473394,-3.000000
4.904000,0.257709,6.403259,-3.000000
4.905000,0.263845,6.403259,-3.000000
4.906000,0.269981,6.228793,-3.000000
4.907000,0.273049,6.228793,-3.000000
4.908000,0.279185,5.966741,-3.000000
4.909000,0.285320,5.969119,-3.000000
4.910000,0.291456,5.969119,-3.000000
4.911000,0.297592,5.650636,-3.000000
4.912000,0.300660,5.650636,-3.000000
