t,alpha,alpha_dot
4.467,2.68447,-0.617049
4.468,2.68447,-0.58771
4.469,2.68753,0.560766
4.47,2.68753,0.536177
4.471,2.68753,0.513749
4.472,2.68753,0.493207
4.473,2.68753,0.474175
4.474,2.68753,0.45641
4.475,2.6906,0.440064
4.476,2.6906,0.424913
4.477,2.6906,0.410714
4.478,2.69367,0.397309
4.479,2.69367,0.384853
4.48,2.69367,0.373211
4.481,2.69367,0.362157
4.482,2.69674,0.361402
4.483,2.69674,0.361402
4.484,2.69981,0.361402
4.485,2.69981,0.361402
4.486,2.69981,0.361402
4.487,2.70287,0.361402
4.488,2.70287,0.361402
4.489,2.70594,0.361402
4.49,2.70594,0.361402
4.491,2.70901,1.31501
4.492,2.70901,1.31501
4.493,2.71208,1.31501
4.494,2.71208,1.31501
4.495,2.71515,1.31501
4.496,2.71821,1.31501
4.497,2.71821,1.31501
4.498,2.72128,1.75099
4.499,2.72435,1.75099
4.5,2.72742,1.75099
4.501,2.73049,1.75099
4.502,2.73355,1.75099
4.503,2.73355,1.75099
4.504,2.73662,2.07825
4.505,2.73969,2.07825
4.506,2.73969,2.07825
4.507,2.74276,2.07825
4.508,2.74583,2.07825
4.509,2.74889,2.34779
4.51,2.75196,2.34779
4.511,2.75196,2.34779
4.512,2.75503,2.34779
4.513,2.7581,2.34779
4.514,2.76117,2.58179
4.515,2.76423,2.58179
4.516,2.7673,2.58179
4.517,2.77037,2.58179
4.518,2.77344,2.78031
4.519,2.77651,2.78031
4.52,2.77957,2.78031
4.521,2.78264,2.78031
4.522,2.78571,2.96986
4.523,2.78878,2.96986
4.524,2.79185,2.96986
4.525,2.79491,2.96986
4.526,2.79798,3.14941
4.527,2.80105,3.14941
4.528,2.80412,3.14941
4.529,2.80718,3.14941
4.53,2.81025,3.30484
4.531,2.81332,3.30484
4.532,2.81639,3.30484
4.533,2.82252,3.45764
4.534,2.82559,3.45764
4.535,2.82866,3.45764
4.536,2.83173,3.45764
4.537,2.8348,3.6007
4.538,2.83786,3.6007
4.539,2.844,3.6007
4.54,2.84707,3.72489
4.541,2.85014,3.72489
4.542,2.8532,3.72489
4.543,2.85934,3.8393
4.544,2.86241,3.8393
4.545,2.86548,3.8393
4.546,2.87161,3.8393
4.547,2.87468,3.95262
4.548,2.87775,3.95262
4.549,2.88082,3.95262
4.55,2.88695,4.05292
4.551,2.89002,4.05292
4.552,2.89616,4.13638
4.553,2.89922,4.13638
4.554,2.90229,4.13638
4.555,2.90843,4.2294
