t,theta,theta_dot,voltage
0.48,18.2022,47.9916,2
0.481,18.2513,48.0333,2
0.482,18.3004,48.002,2
0.483,18.3464,47.9968,2
0.484,18.3955,48.0385,2
0.485,18.4446,48.0594,2
0.486,18.4906,48.0072,2
0.487,18.5397,48.1092,2
0.488,18.5888,48.0621,2
0.489,18.6348,48.1223,2
0.49,18.6839,48.0568,2
0.491,18.733,48.0046,2
0.492,18.779,48.0961,2
0.493,18.8281,48.2037,2
0.494,18.8772,48.1144,2
0.495,18.9232,48.1695,2
0.496,18.9723,48.159,2
0.497,19.0214,48.1958,2
0.498,19.0674,48.1984,2
0.499,19.1165,48.1905,2
0.5,19.1656,48.138,2
0.501,19.2146,48.1695,2
0.502,19.2607,48.2379,2
0.503,19.3098,48.1931,2
0.504,19.3588,48.2959,2
0.505,19.4049,48.2089,2
0.506,19.4539,48.251,2
0.507,19.503,48.2695,2
0.508,19.5521,48.2695,2
0.509,19.5981,48.2906,2
0.51,19.6472,48.3223,2
0.511,19.6963,48.2985,2
0.512,19.7423,48.2748,2
0.513,19.7914,48.317,2
0.514,19.8405,48.3117,2
0.515,19.8896,48.2563,2
0.516,19.9387,48.4415,2
0.517,19.9847,48.399,2
0.518,20.0338,48.3725,2
0.519,20.0829,48.3884,2
0.52,20.132,48.4521,2
0.521,20.178,48.3911,2
0.522,20.2271,48.4601,2
0.523,20.2762,48.3673,2
0.524,20.3252,48.5106,2
0.525,20.3743,48.4335,2
0.526,20.4204,48.476,2
0.527,20.4694,48.4654,2
0.528,20.5185,48.476,2
0.529,20.5676,48.5053,2
0.53,20.6167,48.4734,2
0.531,20.6627,48.6281,2
0.532,20.7118,48.4309,2
0.533,20.7609,48.5453,2
0.534,20.81,48.5506,2
0.535,20.8591,48.5747,2
0.536,20.9082,48.492,2
0.537,20.9542,48.5693,2
0.538,21.0033,48.6469,2
0.539,21.0524,48.5773,2
0.54,21.1014,48.5773,2
0.541,21.1505,48.6388,2
0.542,21.1996,48.6603,2
0.543,21.2456,48.6388,2
0.544,21.2947,48.6495,2
0.545,21.3438,48.6683,2
0.546,21.3929,48.6281,2
0.547,21.442,48.6924,2
0.548,21.4911,48.6281,2
0.549,21.5402,48.6495,2
0.55,21.5862,48.7327,2
0.551,21.6353,48.6576,2
0.552,21.6844,48.7085,2
0.553,21.7334,48.6576,2
0.554,21.7825,48.7085,2
0.555,21.8316,48.7193,2
0.556,21.8807,48.7112,2
0.557,21.9298,48.7569,2
0.558,21.9758,48.6951,2
0.559,22.0249,48.7704,2
0.56,22.074,48.6656,2
0.561,22.1231,48.7489,2
0.562,22.1722,48.7408,2
0.563,22.2212,48.6603,2
0.564,22.2703,48.7435,2
0.565,22.3194,48.7247,2
0.566,22.3685,48.6871,2
0.567,22.4145,48.6603,2
0.568,22.4636,48.7354,2
0.569,22.5127,48.7247,2
0.57,22.5618,48.7489,2
0.571,22.6109,48.765,2
0.572,22.66,48.671,2
0.573,22.7091,48.6817,2
0.574,22.7581,48.7596,2
0.575,22.8042,48.7381,2
0.576,22.8532,48.6442,2
0.577,22.9023,48.7139,2
0.578,22.9514,48.7408,2
0.579,23.0005,48.5907,2
0.58,23.0496,48.8351,2
0.581,23.0987,48.7005,2
0.582,23.1478,48.6522,2
0.583,23.1938,48.7193,2
0.584,23.2429,48.7381,2
0.585,23.292,48.7435,2
0.586,23.3411,48.7515,2
0.587,23.3901,48.7596,2
0.588,23.4392,48.7085,2
0.589,23.4883,48.7139,2
0.59,23.5374,48.7462,2
0.591,23.5865,48.7435,2
0.592,23.6325,48.765,2
0.593,23.6816,48.7569,2
0.594,23.7307,48.7623,2
0.595,23.7798,48.6898,2
0.596,23.8289,48.7731,2
0.597,23.8779,48.7731,2
0.598,23.927,48.7785,2
0.599,23.9761,48.7892,2
0.6,24.0252,48.7623,2
0.601,24.0712,48.7085,2
0.602,24.1203,48.8027,2
0.603,24.1694,48.6763,2
0.604,24.2185,48.8324,2
0.605,24.2676,48.7354,2
0.606,24.3167,48.7596,2
0.607,24.3658,48.7623,2
0.608,24.4148,48.8162,2
0.609,24.4639,48.7973,2
0.61,24.513,48.7811,2
0.611,24.559,48.8135,2
0.612,24.6081,48.8756,2
0.613,24.6572,48.8459,2
0.614,24.7063,48.765,2
0.615,24.7554,48.9243,2
0.616,24.8045,48.8864,2
0.617,24.8536,48.7973,2
0.618,24.9026,48.8081,2
0.619,24.9517,48.9297,2
0.62,25.0008,48.9108,2
0.621,25.0499,48.8108,2
0.622,25.099,48.8675,2
0.623,25.145,48.9026,2
0.624,25.1941,48.8999,2
0.625,25.2432,48.8945,2
0.626,25.2923,48.9026,2
0.627,25.3414,48.8864,2
0.628,25.3905,48.9758,2
0.629,25.4395,48.9189,2
0.63,25.4886,48.8756,2
0.631,25.5377,48.9379,2
0.632,25.5868,48.8918,2
0.633,25.6359,48.9894,2
0.634,25.685,48.8945,2
0.635,25.7341,48.9297,2
0.636,25.7831,48.9297,2
0.637,25.8322,48.9433,2
0.638,25.8813,48.946,2
0.639,25.9304,48.9704,2
0.64,25.9795,48.946,2
0.641,26.0255,48.9216,2
0.642,26.0746,48.9595,2
0.643,26.1237,48.9541,2
0.644,26.1728,48.8945,2
0.645,26.2219,49.0656,2
0.646,26.271,48.9867,2
0.647,26.32,49.022,2
0.648,26.3691,49.0356,2
0.649,26.4182,49.0057,2
0.65,26.4673,49.0411,2
0.651,26.5164,49.0111,2
0.652,26.5655,49.1092,2
0.653,26.6146,49.0329,2
0.654,26.6637,49.0629,2
0.655,26.7127,49.0411,2
0.656,26.7618,49.0492,2
0.657,26.8109,49.1147,2
0.658,26.86,49.0383,2
0.659,26.9091,49.1393,2
0.66,26.9582,49.0356,2
0.661,27.0073,49.1529,2
0.662,27.0564,49.1256,2
0.663,27.1054,49.1502,2
0.664,27.1545,49.0084,2
0.665,27.2036,49.1092,2
0.666,27.2527,49.1092,2
0.667,27.3018,49.0574,2
0.668,27.3509,49.1858,2
0.669,27.4,49.0983,2
0.67,27.4491,49.0983,2
0.671,27.4981,49.1201,2
0.672,27.5472,49.2022,2
0.673,27.5963,49.1174,2
0.674,27.6454,49.1748,2
0.675,27.6945,49.1775,2
0.676,27.7436,49.2022,2
0.677,27.7927,49.1803,2
0.678,27.8418,49.1447,2
0.679,27.8908,49.1365,2
0.68,27.9399,49.1995,2
0.681,27.989,49.183,2
0.682,28.0381,49.1967,2
0.683,28.0872,49.1283,2
0.684,28.1363,49.2296,2
0.685,28.1854,49.1065,2
0.686,28.2345,49.2104,2
0.687,28.2866,49.1693,2
0.688,28.3388,49.1666,2
0.689,28.3878,49.1639,2
0.69,28.4369,49.1502,2
0.691,28.486,49.1967,2
0.692,28.5351,49.1447,2
0.693,28.5842,49.1912,2
0.694,28.6333,49.1693,2
0.695,28.6824,49.1721,2
0.696,28.7315,49.0956,2
0.697,28.7805,49.1147,2
0.698,28.8296,49.1201,2
0.699,28.8787,49.1311,2
0.7,28.9278,49.1748,2
0.701,28.9769,49.1201,2
0.702,29.026,49.0956,2
0.703,29.0751,49.1639,2
0.704,29.1242,49.1447,2
0.705,29.1732,49.0275,2
0.706,29.2223,49.1038,2
0.707,29.2714,49.1557,2
0.708,29.3205,48.9758,2
0.709,29.3696,49.2132,2
0.71,29.4187,49.1311,2
0.711,29.4678,49.0574,2
0.712,29.5169,49.0656,2
0.713,29.5659,49.1038,2
0.714,29.615,49.0928,2
0.715,29.6641,49.1119,2
0.716,29.7132,49.1611,2
0.717,29.7623,49.0438,2
0.718,29.8114,49.0765,2
0.719,29.8605,48.9894,2
0.72,29.9096,49.0193,2
0.721,29.9586,49.0792,2
0.722,30.0077,49.0765,2
0.723,30.0568,49.0302,2
0.724,30.1059,49.0275,2
0.725,30.155,49.052,2
0.726,30.2041,49.0547,2
0.727,30.2532,49.1529,2
0.728,30.3023,49.0792,2
0.729,30.3513,49.0084,2
0.73,30.4004,49.101,2
0.731,30.4495,48.9704,2
0.732,30.4986,49.1311,2
0.733,30.5477,49.0247,2
0.734,30.5968,49.0547,2
0.735,30.6459,49.0438,2
0.736,30.695,49.1174,2
0.737,30.744,49.0847,2
0.738,30.7931,49.0792,2
0.739,30.8422,49.1065,2
0.74,30.8913,49.1584,2
0.741,30.9404,49.1229,2
0.742,30.9895,49.0302,2
0.743,31.0386,49.2104,2
0.744,31.0907,49.1529,2
0.745,31.1398,49.0683,2
0.746,31.1889,49.0765,2
0.747,31.238,49.1995,2
0.748,31.2871,49.1775,2
0.749,31.3362,49.0738,2
0.75,31.3852,49.1229,2
0.751,31.4343,49.1584,2
0.752,31.4865,49.1611,2
0.753,31.5356,49.1365,2
0.754,31.5847,49.1393,2
0.755,31.6338,49.1256,2
0.756,31.6828,49.2077,2
0.757,31.7319,49.1557,2
0.758,31.781,49.1065,2
0.759,31.8301,49.1666,2
0.76,31.8792,49.1229,2
0.761,31.9283,49.2159,2
0.762,31.9774,49.1174,2
0.763,32.0265,49.1447,2
0.764,32.0755,49.1502,2
0.765,32.1246,49.1475,2
0.766,32.1737,49.1584,2
0.767,32.2228,49.1803,2
0.768,32.2719,49.1611,2
0.769,32.321,49.1283,2
0.77,32.3701,49.1584,2
0.771,32.4191,49.1557,2
0.772,32.4682,49.0983,2
0.773,32.5173,49.268,2
0.774,32.5664,49.1803,2
0.775,32.6155,49.2104,2
0.776,32.6646,49.2214,2
0.777,32.7137,49.2049,2
0.778,32.7628,49.2323,2
0.779,32.8118,49.2049,2
0.78,32.8609,49.2983,2
0.781,32.9131,49.2132,2
0.782,32.9622,49.2488,2
0.783,33.0113,49.2214,2
0.784,33.0604,49.2269,2
0.785,33.1094,49.2955,2
0.786,33.1585,49.2159,2
0.787,33.2076,49.2983,2
0.788,33.2567,49.2159,2
0.789,33.3058,49.323,2
0.79,33.3549,49.2983,2
0.791,33.404,49.3258,2
0.792,33.4531,49.1748,2
0.793,33.5021,49.279,2
0.794,33.5512,49.2873,2
0.795,33.6003,49.2296,2
0.796,33.6494,49.3589,2
0.797,33.6985,49.2708,2
0.798,33.7506,49.2708,2
0.799,33.7997,49.2845,2
0.8,33.8488,49.3533,2
0.801,33.8979,49.2735,2
0.802,33.947,49.3368,2
0.803,33.9961,49.3341,2
0.804,34.0452,49.3451,2
0.805,34.0943,49.3313,2
0.806,34.1433,49.301,2
0.807,34.1924,49.2708,2
0.808,34.2415,49.3561,2
0.809,34.2906,49.3341,2
0.81,34.3397,49.3506,2
0.811,34.3888,49.2735,2
0.812,34.4409,49.3754,2
0.813,34.49,49.2461,2
0.814,34.5391,49.3478,2
0.815,34.5882,49.29,2
0.816,34.6373,49.3589,2
0.817,34.6864,49.3038,2
0.818,34.7355,49.3285,2
0.819,34.7845,49.3313,2
0.82,34.8336,49.2845,2
0.821,34.8827,49.3065,2
0.822,34.9318,49.2433,2
0.823,34.9809,49.2104,2
0.824,35.03,49.2818,2
0.825,35.0791,49.2625,2
0.826,35.1282,49.2873,2
0.827,35.1772,49.301,2
0.828,35.2294,49.2022,2
0.829,35.2785,49.2077,2
0.83,35.3276,49.2818,2
0.831,35.3767,49.2488,2
0.832,35.4258,49.1502,2
0.833,35.4748,49.2296,2
0.834,35.5239,49.2543,2
0.835,35.573,49.0956,2
0.836,35.6221,49.3203,2
0.837,35.6712,49.183,2
0.838,35.7203,49.1365,2
0.839,35.7694,49.194,2
0.84,35.8185,49.2104,2
0.841,35.8675,49.2104,2
0.842,35.9166,49.2132,2
0.843,35.9657,49.2269,2
0.844,36.0148,49.1611,2
0.845,36.0639,49.1885,2
0.846,36.113,49.1967,2
0.847,36.1621,49.1995,2
0.848,36.2112,49.2132,2
0.849,36.2602,49.2049,2
0.85,36.3093,49.2077,2
0.851,36.3584,49.1311,2
0.852,36.4075,49.2104,2
0.853,36.4566,49.2104,2
0.854,36.5057,49.2022,2
0.855,36.5548,49.2132,2
0.856,36.6069,49.1147,2
0.857,36.656,49.2104,2
0.858,36.7082,49.1475,2
0.859,36.7572,49.2488,2
0.86,36.8063,49.1639,2
0.861,36.8554,49.1666,2
0.862,36.9045,49.1775,2
0.863,36.9536,49.1995,2
0.864,37.0027,49.2323,2
0.865,37.0518,49.183,2
0.866,37.1009,49.1912,2
0.867,37.1499,49.2433,2
0.868,37.199,49.1721,2
0.869,37.2481,49.1502,2
0.87,37.2972,49.2516,2
0.871,37.3463,49.142,2
0.872,37.3954,49.142,2
0.873,37.4445,49.2049,2
0.874,37.4936,49.268,2
0.875,37.5426,49.1775,2
0.876,37.5917,49.1338,2
0.877,37.6408,49.2186,2
0.878,37.6899,49.3258,2
0.879,37.739,49.2296,2
0.88,37.7881,49.2653,2
