t,alpha,alpha_dot
0.756,-3.14159,-0
0.757,-3.14159,-0
0.758,-3.14159,-0
0.759,-3.14159,-0
0.76,-3.14159,-0
0.761,-3.14159,-0
0.762,-3.14159,-0
0.763,-3.14159,-0
0.764,-3.14159,-0
0.765,-3.14159,-0
0.766,-3.14159,-0
0.767,-3.14159,-0
0.768,-3.14159,-0
0.769,-3.14159,-0
0.77,-3.14159,-0
0.771,-3.14159,-0
0.772,-3.14159,-0
0.773,-3.14159,-0
0.774,-3.14159,-0
0.775,-3.14159,-0
0.776,-3.14159,-0
0.777,-3.14159,-0
0.778,-3.14159,-0
0.779,-3.14159,-0
0.78,-3.14159,-0
0.781,-3.14159,-0
0.782,-3.14159,-0
0.783,-3.14159,-0
0.784,-3.14159,-0
0.785,-3.14159,-0
0.786,-3.14159,-0
0.787,-3.14159,-0
0.788,-3.14159,-0
0.789,-3.14159,-0
0.79,-3.14159,-0
0.791,-3.14159,-0
0.792,-3.14159,-0
0.793,-3.14159,-0
0.794,-3.14159,-0
0.795,-3.14159,-0
0.796,-3.14159,-0
0.797,-3.14159,-0
0.798,-3.14159,-0
0.799,-3.14159,-0
0.8,-3.14159,-0
0.801,-3.14159,-0
0.802,-3.14159,-0
0.803,-3.14159,-0
0.804,-3.14159,-0
0.805,-3.14159,-0
0.806,-3.14159,-0
0.807,-3.14159,-0
0.808,-3.14159,-0
0.809,-3.14159,-0
0.81,-3.14159,-0
0.811,-3.14159,-0
0.812,-3.14159,-0
0.813,-3.14159,-0
0.814,-3.14159,-0
0.815,-3.14159,-0
0.816,-3.14159,-0
0.817,-3.14159,-0
0.818,-3.14159,-0
0.819,-3.14159,-0
0.82,-3.14159,-0
0.821,-3.14159,-0
0.822,-3.14159,-0
0.823,-3.14159,-0
0.824,-3.14159,-0
0.825,-3.14159,-0
0.826,-3.14159,-0
0.827,-3.14159,-0
0.828,-3.14159,-0
0.829,-3.14159,-0
0.83,-3.14159,-0
0.831,-3.14159,-0
0.832,-3.14159,-0
0.833,-3.14159,-0
0.834,-3.14159,-0
0.835,-3.14159,-0
0.836,-3.14159,-0
0.837,-3.14159,-0
0.838,-3.14159,-0
0.839,-3.14159,-0
0.84,-3.14159,-0
0.841,-3.14159,-0
0.842,-3.14159,-0
0.843,-3.14159,-0
0.844,-3.14159,-0
0.845,-3.14159,-0
0.846,-3.14159,-0
0.847,-3.14159,-0
0.848,-3.14159,-0
0.849,-3.14159,-0
0.85,-3.14159,-0
0.851,-3.14159,-0
0.852,-3.14159,-0
0.853,-3.14159,-0
0.854,-3.14159,-0
0.855,-3.14159,-0
0.856,-3.14159,-0
0.857,-3.14159,-0
0.858,-3.14159,-0
0.859,-3.14159,-0
0.86,-3.14159,-0
0.861,-3.14159,-0
0.862,-3.14159,-0
0.863,-3.14159,-0
0.864,-3.14159,-0
0.865,-3.14159,-0
0.866,-3.14159,-0
0.867,-3.14159,-0
0.868,-3.14159,-0
0.869,-3.14159,-0
0.87,-3.14159,-0
0.871,-3.14159,-0
0.872,-3.14159,-0
0.873,-3.14159,-0
0.874,-3.14159,-0
0.875,-3.14159,-0
0.876,-3.14159,-0
0.877,-3.14159,-0
0.878,-3.14159,-0
0.879,-3.14159,-0
0.88,-3.14159,-0
0.881,-3.14159,-0
0.882,-3.14159,-0
0.883,-3.14159,-0
0.884,-3.14159,-0
0.885,-3.14159,-0
0.886,-3.14159,-0
0.887,-3.14159,-0
0.888,-3.14159,-0
0.889,-3.14159,-0
0.89,-3.14159,-0
0.891,-3.14159,-0
0.892,-3.14159,-0
0.893,-3.14159,-0
0.894,-3.14159,-0
0.895,-3.14159,-0
0.896,-3.14159,-0
0.897,-3.14159,-0
0.898,-3.14159,-0
0.899,-3.14159,-0
0.9,-3.14159,-0
0.901,-3.14159,-0
0.902,-3.14159,-0
0.903,-3.14159,-0
0.904,-3.14159,-0
0.905,-3.14159,-0
0.906,-3.14159,-0
0.907,-3.14159,-0
0.908,-3.14159,-0
0.909,-3.14159,-0
0.91,-3.14159,-0
0.911,-3.14159,-0
0.912,-3.14159,-0
0.913,-3.14159,-0
0.914,-3.14159,-0
0.915,-3.14159,-0
0.916,-3.14159,-0
0.917,-3.14159,-0
0.918,-3.14159,-0
0.919,-3.14159,-0
0.92,-3.14159,-0
0.921,-3.14159,-0
0.922,-3.14159,-0
0.923,-3.14159,-0
0.924,-3.14159,-0
0.925,-3.14159,-0
0.926,-3.14159,-0
0.927,-3.14159,-0
0.928,-3.14159,-0
0.929,-3.14159,-0
0.93,-3.14159,-0
0.931,-3.14159,-0
0.932,-3.14159,-0
0.933,-3.14159,-0
0.934,-3.14159,-0
0.935,-3.14159,-0
0.936,-3.14159,-0
0.937,-3.14159,-0
0.938,-3.14159,-0
0.939,-3.14159,-0
0.94,-3.14159,-0
0.941,-3.14159,-0
0.942,-3.14159,-0
0.943,-3.14159,-0
0.944,-3.14159,-0
0.945,-3.14159,-0
0.946,-3.14159,-0
0.947,-3.14159,-0
0.948,-3.14159,-0
0.949,-3.14159,-0
0.95,-3.14159,-0
0.951,-3.14159,-0
0.952,-3.14159,-0
0.953,-3.14159,-0
0.954,-3.14159,-0
0.955,-3.14159,-0
0.956,-3.14159,-0
0.957,-3.14159,-0
0.958,-3.14159,-0
0.959,-3.14159,-0
0.96,-3.14159,-0
0.961,-3.14159,-0
0.962,-3.14159,-0
0.963,-3.14159,-0
0.964,-3.14159,-0
0.965,-3.14159,-0
0.966,-3.14159,-0
0.967,-3.14159,-0
0.968,-3.14159,-0
0.969,-3.14159,-0
0.97,-3.14159,-0
0.971,-3.14159,-0
0.972,-3.14159,-0
0.973,-3.14159,-0
0.974,-3.14159,-0
0.975,-3.14159,-0
0.976,-3.14159,-0
0.977,-3.14159,-0
0.978,-3.14159,-0
0.979,-3.14159,-0
